,Request Id,prefill_e2e_time,cdf
74,74,0.15449373297315105,0.0078125
77,77,0.15449373297315105,0.015625
83,83,0.15449373297315105,0.0234375
86,86,0.15449373297315105,0.03125
98,98,0.15449373297315105,0.0390625
101,101,0.15449373297315105,0.046875
110,110,0.15449373297315105,0.0546875
116,116,0.15449373297315105,0.0625
122,122,0.15449373297315105,0.0703125
25,26,0.15449373297315816,0.078125
29,29,0.15449373297315816,0.0859375
32,32,0.15449373297315816,0.09375
35,35,0.15449373297315816,0.1015625
5,5,0.15449373297315994,0.109375
8,8,0.15449373297315994,0.1171875
2,2,0.15449373297316038,0.125
20,20,0.1544937329731617,0.1328125
38,38,0.15449373297316527,0.140625
53,53,0.15449373297316527,0.1484375
62,62,0.15449373297316527,0.15625
65,65,0.15449373297316527,0.1640625
71,71,0.15449373297316527,0.171875
73,73,0.1700335493566172,0.1796875
76,76,0.1700335493566172,0.1875
78,78,0.1700335493566172,0.1953125
84,84,0.1700335493566172,0.203125
85,85,0.1700335493566172,0.2109375
87,87,0.1700335493566172,0.21875
88,88,0.1700335493566172,0.2265625
93,93,0.1700335493566172,0.234375
96,96,0.1700335493566172,0.2421875
97,97,0.1700335493566172,0.25
99,100,0.1700335493566172,0.2578125
100,99,0.1700335493566172,0.265625
103,103,0.1700335493566172,0.2734375
109,109,0.1700335493566172,0.28125
111,111,0.1700335493566172,0.2890625
112,112,0.1700335493566172,0.296875
114,114,0.1700335493566172,0.3046875
115,115,0.1700335493566172,0.3125
117,117,0.1700335493566172,0.3203125
124,123,0.1700335493566172,0.328125
127,127,0.1700335493566172,0.3359375
6,6,0.17003354935662784,0.34375
7,7,0.17003354935662784,0.3515625
0,0,0.17003354935663006,0.359375
1,1,0.17003354935663006,0.3671875
22,22,0.1700335493566314,0.375
24,24,0.1700335493566314,0.3828125
26,25,0.1700335493566314,0.390625
30,30,0.1700335493566314,0.3984375
31,31,0.1700335493566314,0.40625
33,33,0.1700335493566314,0.4140625
34,34,0.1700335493566314,0.421875
36,36,0.1700335493566456,0.4296875
37,37,0.1700335493566456,0.4375
39,39,0.1700335493566456,0.4453125
40,40,0.1700335493566456,0.453125
54,54,0.1700335493566456,0.4609375
55,55,0.1700335493566456,0.46875
60,60,0.1700335493566456,0.4765625
61,61,0.1700335493566456,0.484375
63,63,0.1700335493566456,0.4921875
64,64,0.1700335493566456,0.5
66,66,0.1700335493566456,0.5078125
72,72,0.1700335493566456,0.515625
17,17,0.17134452551244195,0.5234375
68,68,0.17143405634467968,0.53125
41,41,0.1717091502215311,0.5390625
11,11,0.17186691631613193,0.546875
125,125,0.17230226990494657,0.5546875
59,59,0.1726970918058015,0.5625
95,95,0.17378090282005587,0.5703125
107,107,0.17480202901808184,0.578125
92,92,0.17541332214020144,0.5859375
56,56,0.1761619408279529,0.59375
23,23,0.17630281053620678,0.6015625
113,113,0.17645498263576087,0.609375
80,80,0.17720706377090778,0.6171875
89,89,0.17825771950001013,0.625
118,119,0.17946765776324014,0.6328125
44,44,0.17996366315925627,0.640625
104,104,0.1811718594518652,0.6484375
47,47,0.1812055593912163,0.65625
21,21,0.1832802512788163,0.6640625
58,58,0.18590047152734712,0.671875
50,50,0.18592500134069212,0.6796875
14,14,0.1859847533141803,0.6875
123,124,0.18601304551125963,0.6953125
120,120,0.18610978177727588,0.703125
51,51,0.1863731074639361,0.7109375
19,18,0.18670752212381103,0.71875
70,70,0.18705777233410004,0.7265625
12,12,0.18716298535643894,0.734375
81,81,0.18718903004827325,0.7421875
16,16,0.18730253020327225,0.75
75,75,0.1879094712129472,0.7578125
49,49,0.18808983115035005,0.765625
15,15,0.18818601575501503,0.7734375
57,57,0.18844159478511813,0.78125
42,42,0.18868639178009516,0.7890625
46,46,0.18880259928950238,0.796875
121,121,0.18888322300767868,0.8046875
91,91,0.18890043301038872,0.8125
126,126,0.18937333342236684,0.8203125
82,82,0.18952269312455883,0.828125
108,108,0.190168655847458,0.8359375
67,67,0.19045487401936612,0.84375
4,4,0.1904575175452834,0.8515625
79,79,0.1906075948561181,0.859375
94,94,0.19077812125726723,0.8671875
102,102,0.19104515516127663,0.875
3,3,0.19179791715890104,0.8828125
106,106,0.19194019433390963,0.890625
90,90,0.19197949122238356,0.8984375
69,69,0.19241331517781646,0.90625
105,105,0.19247535007190208,0.9140625
9,9,0.1925686246629983,0.921875
119,118,0.19264100512222626,0.9296875
45,45,0.19281501056116213,0.9375
28,28,0.19285873323516256,0.9453125
43,43,0.19358038310164716,0.953125
27,27,0.19360325650850996,0.9609375
48,48,0.19388526916638682,0.96875
10,10,0.19408072796638365,0.9765625
18,19,0.1947213024663661,0.984375
13,13,0.1952115157857115,0.9921875
52,52,0.19541030131156845,1.0
