,Request Id,request_model_execution_time,cdf
0,0,5.354346948990147,0.0078125
2,2,5.354346948990147,0.015625
12,13,5.354346948990147,0.0234375
17,17,5.354346948990147,0.03125
18,18,5.354346948990147,0.0390625
21,21,5.354346948990147,0.046875
24,24,5.354346948990147,0.0546875
25,25,5.354346948990147,0.0625
26,26,5.354346948990147,0.0703125
29,29,5.354346948990147,0.078125
30,30,5.354346948990147,0.0859375
31,31,5.354346948990147,0.09375
32,32,5.354346948990147,0.1015625
33,33,5.354346948990147,0.109375
34,34,5.354346948990147,0.1171875
35,35,5.354346948990147,0.125
36,36,5.354346948990147,0.1328125
37,37,5.354346948990147,0.140625
38,38,5.354346948990147,0.1484375
40,41,5.354346948990147,0.15625
50,50,5.354346948990147,0.1640625
53,53,5.354346948990147,0.171875
57,57,5.354346948990147,0.1796875
58,58,5.354346948990147,0.1875
63,63,5.354346948990147,0.1953125
65,65,5.354346948990147,0.203125
66,67,5.354346948990147,0.2109375
68,68,5.354346948990147,0.21875
69,69,5.354346948990147,0.2265625
70,70,5.354346948990147,0.234375
71,71,5.354346948990147,0.2421875
77,77,5.354346948990147,0.25
83,83,5.354346948990147,0.2578125
84,84,5.354346948990147,0.265625
85,85,5.354346948990147,0.2734375
86,86,5.354346948990147,0.28125
87,89,5.354346948990147,0.2890625
92,92,5.354346948990147,0.296875
93,93,5.354346948990147,0.3046875
94,94,5.354346948990147,0.3125
95,95,5.354346948990147,0.3203125
96,96,5.354346948990147,0.328125
97,97,5.354346948990147,0.3359375
99,99,5.354346948990147,0.34375
102,102,5.354346948990147,0.3515625
109,109,5.354346948990147,0.359375
110,110,5.354346948990147,0.3671875
111,111,5.354346948990147,0.375
112,112,5.354346948990147,0.3828125
113,113,5.354346948990147,0.390625
114,114,5.354346948990147,0.3984375
115,115,5.354346948990147,0.40625
117,117,5.354346948990147,0.4140625
122,122,5.354346948990147,0.421875
123,123,5.354346948990147,0.4296875
125,125,5.354346948990147,0.4375
126,126,5.354346948990147,0.4453125
127,127,5.354346948990147,0.453125
81,81,5.430019359103682,0.4609375
16,16,5.434588191103682,0.46875
82,82,5.438155977770347,0.4765625
124,124,5.442624628437014,0.484375
6,7,5.4577788044370115,0.4921875
59,59,5.462247455103677,0.5
119,119,5.4666982711036765,0.5078125
104,104,5.472950815103675,0.515625
75,75,5.497427743103672,0.5234375
28,28,5.508525599103672,0.53125
76,76,5.518482540175811,0.5390625
11,12,5.5222432228424765,0.546875
78,78,5.5253397988424755,0.5546875
67,66,5.5291597111036745,0.5625
121,121,5.529219436175808,0.5703125
55,55,5.546250604175802,0.578125
20,20,5.548881183103676,0.5859375
116,116,5.550112406842468,0.59375
120,120,5.554766452437011,0.6015625
98,98,5.571709249509131,0.609375
72,72,5.57732384150913,0.6171875
105,106,5.580327412437018,0.625
27,27,5.587525356175797,0.6328125
64,64,5.606504684175804,0.640625
91,91,5.61315446310369,0.6484375
19,19,5.624884033509144,0.65625
118,118,5.630471233509145,0.6640625
56,56,5.632269471103691,0.671875
74,74,5.641826975103691,0.6796875
48,48,5.650630217770359,0.6875
103,103,5.6547547535091525,0.6953125
9,10,5.66463085777036,0.703125
80,80,5.679309855103697,0.7109375
15,15,5.684854004437032,0.71875
88,87,5.687666966842496,0.7265625
4,4,5.7070643428425,0.734375
54,54,5.707803926842501,0.7421875
3,3,5.7165189857703576,0.75
73,73,5.717872406842503,0.7578125
45,45,5.723858010867387,0.765625
47,47,5.727216748175836,0.7734375
7,6,5.742458476175835,0.78125
79,79,5.758447510842501,0.7890625
14,14,5.764474305509167,0.796875
23,23,5.7734442124369965,0.8046875
90,90,5.773990047103664,0.8125
1,1,5.800286529509162,0.8203125
5,5,5.819596486289347,0.828125
62,62,5.8199523159429445,0.8359375
101,101,5.8207195156226765,0.84375
100,100,5.831362843622689,0.8515625
39,39,5.851423792200763,0.859375
43,44,5.858051003942934,0.8671875
22,22,5.871894849509146,0.875
89,88,5.872682092175813,0.8828125
13,11,5.91323739327626,0.890625
108,108,5.916315451942905,0.8984375
60,60,5.950355504200778,0.90625
46,46,5.95951749994289,0.9140625
52,52,5.999058833276208,0.921875
42,42,6.018280504461917,0.9296875
61,61,6.030319587128566,0.9375
106,105,6.071568090867435,0.9453125
107,107,6.0953229364618995,0.953125
41,40,6.102403973534095,0.9609375
44,43,6.119080333795229,0.96875
10,9,6.125637603128617,0.9765625
51,51,6.169389098634473,0.984375
8,8,6.224679258867437,0.9921875
49,49,6.274110759153544,1.0
