,Request Id,request_model_execution_time_normalized,cdf
0,1,0.011115184678502178,0.0078125
2,2,0.011115184678502178,0.015625
18,18,0.011115184678502178,0.0234375
20,20,0.011115184678502178,0.03125
22,22,0.011115184678502178,0.0390625
23,23,0.011115184678502178,0.046875
25,25,0.011115184678502178,0.0546875
26,26,0.011115184678502178,0.0625
30,30,0.011115184678502178,0.0703125
31,31,0.011115184678502178,0.078125
32,32,0.011115184678502178,0.0859375
33,33,0.011115184678502178,0.09375
34,34,0.011115184678502178,0.1015625
36,36,0.011115184678502178,0.109375
53,53,0.011115184678502178,0.1171875
56,56,0.011115184678502178,0.125
59,59,0.011115184678502178,0.1328125
60,60,0.011115184678502178,0.140625
61,61,0.011115184678502178,0.1484375
62,62,0.011115184678502178,0.15625
63,63,0.011115184678502178,0.1640625
65,65,0.011115184678502178,0.171875
72,72,0.011115184678502178,0.1796875
74,74,0.011115184678502178,0.1875
75,75,0.011115184678502178,0.1953125
77,77,0.011115184678502178,0.203125
84,84,0.011115184678502178,0.2109375
94,94,0.011115184678502178,0.21875
95,95,0.011115184678502178,0.2265625
96,96,0.011115184678502178,0.234375
97,97,0.011115184678502178,0.2421875
98,98,0.011115184678502178,0.25
99,100,0.011115184678502178,0.2578125
107,107,0.011115184678502178,0.265625
109,109,0.011115184678502178,0.2734375
110,110,0.011115184678502178,0.28125
112,112,0.011115184678502178,0.2890625
114,114,0.011115184678502178,0.296875
116,116,0.011115184678502178,0.3046875
118,118,0.011115184678502178,0.3125
120,120,0.011115184678502178,0.3203125
123,124,0.011115184678502178,0.328125
127,127,0.011115184678502178,0.3359375
21,21,0.011139169429876765,0.34375
29,29,0.011145808102492579,0.3515625
37,37,0.01114833448387251,0.359375
92,92,0.011148723369469423,0.3671875
58,58,0.011152808043237008,0.375
51,51,0.011154363585624659,0.3828125
28,28,0.011157085784803048,0.390625
73,73,0.011157863555996874,0.3984375
5,5,0.01115806329879533,0.40625
108,108,0.01116349485435365,0.4140625
82,82,0.011164499068345931,0.421875
16,16,0.011164901303942844,0.4296875
50,50,0.011166912481927407,0.4375
106,106,0.011167114974725863,0.4453125
121,121,0.011167517210322775,0.453125
68,68,0.011169126152710426,0.4609375
93,93,0.01117090626289653,0.46875
80,80,0.011173659165470286,0.4765625
19,19,0.011175064527399381,0.484375
14,14,0.01117544036972432,0.4921875
4,4,0.011176413168044044,0.5
57,57,0.011188950527517496,0.5078125
52,52,0.011190729241098978,0.515625
117,117,0.011192202419083539,0.5234375
105,105,0.011193230343672733,0.53125
101,101,0.01119455950385884,0.5390625
126,126,0.011197800495424877,0.546875
17,17,0.011198533784417158,0.5546875
81,81,0.011198828420014071,0.5625
49,49,0.01120123403621445,0.5703125
90,90,0.011202971136169304,0.578125
70,70,0.011203259671766217,0.5859375
113,113,0.01120513185314615,0.59375
85,85,0.011208621098107559,0.6015625
69,69,0.01121032208668903,0.609375
8,9,0.011213469935456601,0.6171875
125,125,0.011218766958402559,0.625
13,13,0.011222672296162426,0.6328125
89,89,0.011225676402131556,0.640625
27,27,0.0113722306217068,0.6484375
35,35,0.011374144378086724,0.65625
88,88,0.011374439013683636,0.6640625
54,54,0.011377534062451207,0.671875
24,24,0.011380775054017234,0.6796875
71,71,0.011381364325211057,0.6875
3,3,0.011381510268009513,0.6953125
38,38,0.011383572717187894,0.703125
104,104,0.01138548922356782,0.7109375
78,78,0.011386224437560098,0.71875
102,102,0.011388140943940023,0.7265625
119,119,0.011388435579536935,0.734375
64,64,0.01138961412192458,0.7421875
91,91,0.011390932782110692,0.75
76,76,0.01139341283468446,0.7578125
1,0,0.01139589398725822,0.765625
55,55,0.011408023946731674,0.7734375
115,115,0.011411271338297715,0.78125
103,103,0.011412294012886908,0.7890625
100,99,0.011413616423073014,0.796875
122,122,0.01141684091463905,0.8046875
15,15,0.01141757045363133,0.8125
79,79,0.011417863589228243,0.8203125
9,8,0.011421294330794272,0.828125
86,86,0.011422419855383465,0.8359375
66,66,0.011422740490980377,0.84375
111,111,0.011424821322360305,0.8515625
83,83,0.011428832567321712,0.859375
67,67,0.011431186655903192,0.8671875
7,7,0.011435464304670788,0.875
124,123,0.011442597602616782,0.8828125
43,43,0.011444176245004435,0.890625
11,11,0.011447728190376653,0.8984375
87,87,0.011451674796345783,0.90625
12,12,0.011473292356234942,0.9140625
42,42,0.01147388556559943,0.921875
46,46,0.011480972349553123,0.9296875
45,45,0.011483496527126885,0.9375
6,6,0.01148391318946677,0.9453125
10,10,0.011484115106791737,0.953125
47,47,0.011526555961998107,0.9609375
48,48,0.011536858051509448,0.96875
44,44,0.01154218181344767,0.9765625
39,39,0.011701885931444122,0.984375
40,40,0.011744248182854841,0.9921875
41,41,0.01178245838061352,1.0
